Country,Fixed2011,Mobile2011,Literacy2011,Fixed2012,Mobile2012,Literacy2012,HDI_level
Albania,10.5,96.4,96.8,9.7,108.4,96.8,high
Algeria,8.5,99,72.6,8.8,103.3,72.6,high
Angola,1.5,48.4,70.4,1.5,48.6,70.4,low
Antigua & Barbuda,39.6,196.4,99,38.7,198.6,99,high
Argentina,24.3,134.9,97.9,24.3,142.5,97.9,very high
Armenia,18.6,103.6,99.6,18.8,106.9,99.6,high
Australia,46.8,108.3,99,45.7,106.2,99,very high
Austria,40.3,154.8,99,39.6,161.2,99,very high
Azerbaijan,18.1,108.7,99.5,18.4,107.5,99.5,high
Bahrain,20.9,128,94.6,21.3,156.2,94.6,high
Bangladesh,0.6,56.1,57.7,0.6,63.8,57.7,low
Barbados,51.4,127,99,52.5,126.4,99,very high
Belarus,44,111.9,99.6,46.3,112.1,99.6,high
Belgium,43.1,120.5,99,42.9,119.4,99,very high
Benin,1.7,85.3,28.7,1.7,89.9,28.7,low
Bhutan,3.7,65.6,52.8,3.6,74.7,52.8,low
Bolivia,8.7,82.8,91.2,8.6,92.6,91.2,medium
Bosnia and Herzegovina,25.5,84.5,98,23.5,89.5,98,high
Botswana,7.4,142.8,85.1,7.8,150.1,85.1,medium
Brazil,21.9,119.2,90.4,22.3,125.2,90.4,high
Brunei Darussalam,19.7,109.2,95.4,17.2,113.8,95.4,very high
Bulgaria,31.6,140.7,98.4,30.4,145.7,98.4,high
Burkina Faso,0.8,45.3,28.7,0.8,57.1,28.7,low
Cambodia,3.7,96.2,73.9,4,132,73.9,low
Cameroon,3.3,52.4,71.3,3.6,64,71.3,low
Canada,53,79.7,99,51.9,75.7,99,very high
Cape Verde,14.9,79.2,84.9,13.9,84.2,84.9,medium
Chad,0.3,31.8,35.4,0.3,35.5,35.4,low
Chile,19.5,129.7,98.6,18.8,138.5,98.6,very high
China,21.2,73.2,95.1,20.6,81.3,95.1,medium
Colombia,15.2,98.5,93.6,13.2,103.2,93.6,high
Comoros,3.1,28.7,75.5,3.1,32.3,75.5,low
Congo (Dem. Rep.),0.1,23.1,66.8,0.1,28,66.8,low
Costa Rica,26.1,92.2,96.3,21.2,128.3,96.3,high
Côte d'Ivoire,1.3,86.1,56.9,1.3,96.3,56.9,low
Croatia,40.1,116.4,98.9,37.4,113.3,98.9,very high
Cuba,10.6,11.7,99.8,10.8,14.9,99.8,high
Cyprus,36.3,97.7,98.7,33.1,98.4,98.7,very high
Czech Republic,21.7,126.1,99,19.9,122.8,99,very high
Denmark,45.1,116.7,99,43.5,118,99,very high
Djibouti,2,21.3,73,2,22.7,73,low
Dominican Rep.,10.4,87.2,90.1,10.5,88.8,90.1,high
Ecuador,15.1,104.5,91.6,15.5,110.7,91.6,high
Egypt,10.6,101.1,72,10.2,115.3,73.9,medium
El Salvador,16.5,133.5,84.5,16.9,138.1,84.5,medium
Eritrea,1.1,4.5,68.9,1.1,5.5,68.9,low
Estonia,35.2,139,99.8,33.5,154.5,99.8,very high
Ethiopia,1,16.7,39,0.9,23.7,39,low
Fiji,15,83.7,95.1,10.1,98.1,95.1,high
Finland,20.1,166,99,16.5,172.5,99,very high
France,63.4,94.8,99,61.9,98.1,99,very high
Gabon,1.5,154.5,89,1.1,187.4,89,medium
Gambia,2.8,78.9,51.1,3.5,83.6,51.1,low
Georgia,31,102.3,99.7,29.6,109.2,99.7,high
Germany,63,132.3,99,61.8,131.3,99,very high
Ghana,1.1,84.8,71.5,1.1,100.3,71.5,medium
Greece,50.4,106.5,97.3,47.8,116.9,97.3,very high
Guinea,0.2,44,25.3,0.2,45.6,25.3,low
Guyana,20.1,69.9,85,20.4,72.2,85,medium
Honduras,7.9,104,85.1,7.7,93.1,85.1,medium
"Hong Kong, China",61,214.7,99,60.6,227.9,99,very high
Hungary,29.4,117.3,99,29.8,116.4,99,very high
Iceland,58.9,106.1,99,57.6,105.4,99,very high
India,2.6,72,62.8,2.5,68.7,62.8,medium
Indonesia,15.8,102.5,92.8,15.5,115.2,92.8,medium
Iran (I.R.),37.1,74.9,85,38,76.9,85,high
Ireland,45.2,108.4,99,43.8,107.1,99,very high
Israel,46.3,121.7,99,46.7,119.9,99,very high
Italy,36.4,158,99,35.5,159.5,99,very high
Jamaica,9.9,108.1,87,9.6,96.5,87,high
Japan,51.1,105,99,50.8,109.4,99,very high
Jordan,7.4,118.2,95.9,6.7,139.1,95.9,high
Kazakhstan,26.3,155.7,99.7,26.5,175.4,99.7,high
Kenya,0.7,67.5,72.2,0.6,71.9,72.2,low
Korea (Rep.),60.9,108.5,99,61.9,110.4,99,very high
Lao P.D.R.,1.7,87.2,72.7,1.8,101.9,72.7,low
Latvia,23,102.9,99.8,22.4,103.4,99.8,very high
Lebanon,20.3,79.5,89.6,20.5,93.2,89.6,high
Lithuania,21.9,151.3,99.7,20.3,151.8,99.7,very high
Luxembourg,54.1,148.3,99,51,145.5,99,very high
Madagascar,0.6,40.7,64.5,0.7,39.1,64.5,low
Malaysia,15.7,127,93.1,15.7,140.9,93.1,high
Maldives,7.5,165.7,98.4,7.1,172.8,98.4,medium
Mali,0.7,68.3,33.4,0.7,89.5,33.4,low
Malta,55.6,124.9,92.4,54.8,128.7,92.4,very high
Mauritania,2,93.6,58.6,1.8,111.1,58.6,low
Mauritius,28.7,99,88.8,26.6,113.1,88.8,high
Mexico,17.2,82.4,93.5,17.4,86.8,93.5,high
Moldova,33.3,101.2,99,34.3,115.9,99,medium
Mongolia,6.7,104.6,97.4,6.2,117.6,97.4,medium
Morocco,11,113.3,67.1,10.1,119.7,67.1,medium
Mozambique,0.4,32.8,50.6,0.4,33.1,50.6,low
Namibia,6.8,96.4,76.5,7.2,103,76.5,medium
Netherlands,42.8,119,99,42.4,117.5,99,very high
New Zealand,42.6,109.2,99,42.1,110.3,99,very high
Nicaragua,4.9,82.2,78,5.4,89.8,78,medium
Niger,0.5,29.5,28.7,0.6,32.4,28.7,low
Nigeria,0.4,58.6,51.1,0.3,67.7,51.1,low
Norway,31,115.6,99,29.5,115.5,99,very high
Oman,10.1,169,86.9,10.5,181.7,86.9,high
Pakistan,3.2,61.6,54.9,3.2,66.8,54.9,low
Panama,15.7,188.6,94.1,17.7,186.7,94.1,high
Paraguay,5.6,99.4,93.9,5.6,101.7,93.9,medium
Peru,11.1,110.4,89.6,11.5,98.8,89.6,high
Philippines,3.7,99.3,95.4,4.1,106.8,95.4,medium
Poland,17.9,131,99.7,16,132.7,99.7,very high
Portugal,42.5,115.4,95.4,42.6,115.1,95.4,very high
Qatar,16.5,123.1,96.3,16.9,134.1,96.3,very high
Romania,21.8,109.3,97.7,21.9,106.1,97.7,high
Russia,30.9,179.3,99.7,30.1,183.5,99.7,high
Rwanda,0.4,40.6,65.9,0.4,50.5,65.9,low
Saudi Arabia,16.5,191.2,87.2,16.7,184.7,87.2,high
Senegal,2.7,73.3,49.7,2.6,87.5,49.7,low
Serbia,37.3,125.4,98,30.2,92.8,98,high
